lng,lat
-73.82576,40.66514
-73.82833,40.66529
-73.82934,40.66537
-73.83013,40.66544
-73.83168,40.66563
-73.83232,40.66576
-73.8331,40.66595
-73.83544,40.66665
-73.83595,40.66678
-73.83644,40.66688
-73.83694,40.66696
-73.83748,40.66701
-73.83809,40.66702
-73.83857,40.667
-73.83909,40.66692
-73.83965,40.66679
-73.84045,40.66656
-73.84281,40.66568
-73.84399,40.66518
-73.84536,40.66456
-73.84568,40.66447
-73.8478,40.66347
-73.84912,40.6628
-73.85043,40.6621
-73.85154,40.66142
-73.8521,40.66106
-73.85273,40.66061
-73.85597,40.65798
-73.85738,40.6569
-73.85939,40.6555
-73.86142,40.6542
-73.8624,40.65361
-73.86433,40.65252
-73.86897,40.65004
-73.87003,40.64946
-73.87049,40.64918
-73.87104,40.64881
-73.87188,40.64822
-73.87294,40.64737
-73.8736,40.64676
-73.8742,40.64612
-73.87494,40.64523
-73.87557,40.64434
-73.87608,40.64353
-73.87675,40.64235
-73.87786,40.64025
-73.8783,40.6393
-73.87886,40.63817
-73.87903,40.63779
-73.87943,40.63699
-73.87966,40.6366
-73.88019,40.63578
-73.88046,40.6354
-73.88105,40.63464
-73.88165,40.63395
-73.88202,40.63355
-73.8827,40.63291
-73.88327,40.63241
-73.88418,40.6317
-73.88522,40.63097
-73.8862,40.63031
-73.88949,40.62821
-73.89348,40.62569
-73.8939,40.62542
-73.89438,40.62504
-73.89481,40.62474
-73.89522,40.62438
-73.89548,40.62407
-73.89585,40.62371
-73.89628,40.6232
-73.89652,40.62288
-73.89689,40.6222
-73.89719,40.62151
-73.89744,40.6208
-73.89755,40.62015
